Letter,Occurrances,Initial code,Code length,Canonical code,Bit cost
E,16004799,010,3,000,48014397
A,11515387,1111,4,0010,46061548
H,5991623,0001,4,0011,23966492
I,10268270,1100,4,0100,41073080
N,9805908,1010,4,0101,39223632
O,9639038,1001,4,0110,38556152
R,8834123,0110,4,0111,35336492
S,8943927,1000,4,1000,35775708
T,11293284,1110,4,1001,45173136
C,4692125,01111,5,10100,23460625
D,5237752,10111,5,10101,26188760
F,2925286,00000,5,10110,14626430
L,5677875,11011,5,10111,28389375
M,3617320,00110,5,11000,18086600
U,3534503,00101,5,11001,17672515
B,2100381,011101,6,110100,12602286
G,2635657,101101,6,110101,15813942
P,2868945,110101,6,110110,17213670
V,1441753,000010,6,110111,8650518
W,2029533,001111,6,111000,12177198
Y,2094111,011100,6,111001,12564666
",",1775723,001110,6,111010,10654338
.,1538040,000011,6,111011,9228240
K,860239,0010010,7,1111000,6021673
0,730535,11010011,8,11110010,5844280
1,689234,11010010,8,11110011,5513872
2,508091,10110000,8,11110100,4064728
9,363829,00100000,8,11110101,2910632
-,597207,10110011,8,11110110,4777656
"""",453655,00100111,8,11110111,3629240
\n,435071,00100110,8,11111000,3480568
J,294167,101100100,9,111110010,2647503
X,318222,110100010,9,111110011,2863998
Z,186117,001000010,9,111110100,1675053
3,213588,001000111,9,111110101,1922292
4,188967,001000011,9,111110110,1700703
5,197232,001000101,9,111110111,1775088
8,204159,001000110,9,111111000,1837431
',283875,101100011,9,111111001,2554875
(,297943,101100101,9,111111010,2681487
),298201,110100000,9,111111011,2683809
Q,136144,1011000101,10,1111111000,1361440
6,176320,1101000110,10,1111111001,1763200
7,181883,1101000111,10,1111111010,1818830
:,145753,1101000010,10,1111111011,1457530
[,95102,0010001000,10,1111111100,951020
],95125,0010001001,10,1111111101,951250
;,69693,10110001001,11,11111111100,766623
/,41372,110100001110,12,111111111010,496464
%,29662,101100010001,12,111111111011,355944
{,13857,1011000100000,13,1111111111000,180141
&,15252,1011000100001,13,1111111111001,198276
+,19212,1101000011010,13,1111111111010,249756
$,16253,1101000011001,13,1111111111011,211289
_,7463,11010000110000,14,11111111111000,104482
?,9359,11010000110110,14,11111111111001,131026
},13842,11010000111111,14,11111111111010,193788
\,12615,11010000111101,14,11111111111011,176610
=,10018,11010000111100,14,11111111111100,140252
!,7082,110100001111101,15,111111111111010,106230
*,4983,110100001101111,15,111111111111011,74745
#,3791,110100001100010,15,111111111111100,56865
^,4066,110100001100011,15,111111111111101,60990
<,2411,1101000011011100,16,1111111111111100,38576
>,2554,1101000011011101,16,1111111111111101,40864
|,2765,1101000011111000,16,1111111111111110,44240
@,1975,11010000111110011,17,11111111111111110,33575
`,865,110100001111100101,18,111111111111111110,15570
~,586,110100001111100100,18,111111111111111111,10548
